Actor/Actress	Movie	Year
BREWSTER, JORDANA	FAST FIVE	2011
DIESEL, VIN	FAST FIVE	2011
GIBSON, TYRESE	FAST FIVE	2011
HICKS, MARK (I)	FAST FIVE	2011
IRBY, MICHAEL	FAST FIVE	2011
JOHNSON, DWAYNE (I)	FAST FIVE	2011
KANG, SUNG	FAST FIVE	2011
LUDACRIS	FAST FIVE	2011
MEED, GEOFF	FAST FIVE	2011
MENDES, EVA	FAST FIVE	2011
ABBINK, MARC	THE DARK KNIGHT RISES	2012
ALEJANDRO, CHARLIE	THE DARK KNIGHT RISES	2012
AMEN, TONY	THE DARK KNIGHT RISES	2012
BALE, CHRISTIAN	THE DARK KNIGHT RISES	2012
BASILE, JOSEPH	THE DARK KNIGHT RISES	2012
BALE, CHRISTIAN	BATMAN BEGINS	2005
BALE, CHRISTIAN	AMERICAN PSYCHO	2000
BALE, CHRISTIAN	THE DARK KNIGHT	2008
CLARK, SPENCER TREAT	GLADIATOR	2000
BUONO, CARA	GLADIATOR	1992
